Tabelle: 61262-0003
Preisindizes für selbst genutztes Wohneigentum: Deutschland,;;;;;;;;;;;;;;;;
Jahre;;;;;;;;;;;;;;;;
Preisindizes für Wohnimmobilien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;
Preisindex für selbst genutztes Wohneigentum;2015=100;88,3;e;90,9;e;93,6;e;95,7;e;97,8;e;100,0;e;102,8;e;106,4;e;111,2;e;116,1;e;119,3;e;129,9;e;148,3;r;157,6;r;161,4;e
     Erwerb von Wohneigentum;2015=100;88,3;e;91,0;e;93,6;e;95,7;e;97,7;e;100,0;e;102,9;e;106,5;e;111,4;e;116,2;e;119,5;e;130,3;e;148,8;r;157,2;r;160,7;e
          Wohneigentum;2015=100;89,4;e;92,0;e;94,4;e;96,3;e;98,1;e;100,0;e;102,7;e;106,2;e;111,0;e;115,7;e;118,5;e;128,9;e;148,0;r;158,1;r;162,0;e
               Schlüsselfertiges Bauen;2015=100;83,6;e;87,8;e;90,3;e;91,4;e;94,8;e;100,0;e;106,9;e;111,8;e;118,9;e;122,9;e;130,4;e;140,0;e;148,7;r;145,0;r;145,7;e
               Eigenbau, Fertigteilbau und Umbau;2015=100;90,0;e;92,4;e;94,8;e;96,8;e;98,5;e;100,0;e;102,1;e;105,4;e;109,9;e;114,8;e;116,8;e;127,3;e;147,7;r;160,0;r;164,4;e
          Erwerbsnebenkosten;2015=100;72,5;e;75,9;e;83,1;e;87,7;e;92,8;e;100,0;e;105,3;e;110,6;e;116,4;e;122,4;e;131,5;e;146,2;e;158,6;r;146,6;r;144,7;e
     Besitz von Wohneigentum;2015=100;87,9;e;90,3;e;93,3;e;95,9;e;98,0;e;100,0;e;102,4;e;105,5;e;109,5;e;114,7;e;117,8;e;126,8;e;144,4;r;160,0;r;167,0;e
          Instandhaltung;2015=100;87,7;e;90,4;e;93,1;e;95,6;e;97,8;e;100,0;e;102,4;e;105,6;e;109,8;e;114,4;e;116,9;e;127,2;e;147,4;r;161,7;r;168,0;e
          Versicherungen;2015=100;88,3;e;89,7;e;94,7;e;98,3;e;99,2;e;100,0;e;102,7;e;105,3;e;109,4;e;118,4;e;125,5;e;129,6;e;138,5;r;163,1;r;175,3;e
          Hausverwaltung;2015=100;-;;-;;-;;-;;-;;-;;-;;104,6;e;106,6;e;109,5;e;112,5;e;113,6;e;116,8;r;123,3;r;126,9;e
__________
© Statistisches Bundesamt (Destatis), 2025
Stand: 29.08.2025 / 17:23:57
